(this is 2 servings) 
Bannana (1 bannana) 
Celery ( 1 stalk)
Chia seeds (1/2 cups soaked overnight in water) 
Flax Seed Oil (1 tablespoon) 
Ginger - fresh (1 teaspoon)
Green tea powder (1 teaspoon) 
Keifer (1/4 cup) 
Maca powder ( 1 teaspoon) 
Mushroom powder, lion's mane (1 teaspoon)
Rose hips, powder ( 1 teaspoon) 
Soy milk ( 1/2 cup)
Spirulina ( 1 teaspoon) 
Whey protein powder (2 scoops) 
Add water to bring total volume up to 1 Liter


